name;categorie;luminosity;temperature;humidity;moisture
vesce;Plante_a_fleurs;50000;25;40;378
narthecie_des_marais;Plante_a_fleurs;50000;20;90;486
chardon_aux_anes;Plante_a_fleurs;45000;20;40;294
erable_du_japon;Plante_a_fleurs;35000;15;60;378
petite_oseille;Plante_a_fleurs;45000;20;40;324
napel;Plante_a_fleurs;26000;20;90;405
geranium_sanguin;Plante_a_fleurs;26000;25;50;324
benoite_hispide;Plante_a_fleurs;30000;10;70;378
cressonnette;Plante_a_fleurs;26000;15;90;405
glaieul_douteux;Plante_a_fleurs;35000;35;40;324
glaux;Plante_a_fleurs;45000;20;70;405
glechome_herisse;Plante_a_fleurs;25000;15;60;378
glycerie_dentee;Plante_a_fleurs;35000;25;100;432
antennaire_des_carpates;Plante_a_fleurs;45000;10;50;378
menthe_des_champs;Plante_a_fleurs;45000;20;90;405
groseillier_a_maquereaux;Plante_a_fleurs;20000;20;50;378
orchis_blanchatre;Plante_a_fleurs;45000;15;60;378
gremil_ligneux;Plante_a_fleurs;40000;30;20;294
iris_sisyrhinque;Plante_a_fleurs;45000;30;20;294
astragale_a_gousses;Plante_a_fleurs;40000;25;20;324
lierre;Lianes;25000;20;60;378
pissenlit_des_marais;Plante_a_fleurs;45000;20;90;432
heliantheme_de_syrie;Plante_a_fleurs;45000;30;20;294
tournesol;Plante_a_fleurs;45000;25;40;378
avoine_pubescente;Plante_a_fleurs;30000;20;40;294
ellebore_d'hiver;Plante_a_fleurs;15000;15;90;405
ache;Plante_a_fleurs;35000;20;90;432
narcisse_a_bouquet;Plante_a_fleurs;45000;30;60;405
chou_des_champs;Plante_a_fleurs;50000;35;10;294
julienne_des_dames;Plante_a_fleurs;35000;20;80;405
lambda;Plante_a_fleurs;900;28;45;540
